"","text","created_at","retweet_count","favorite_count","display_text_width"
"1","America, I’m honored that you have chosen me to lead our great country.

The work ahead of us will be hard, but I promise you this: I will be a President for all Americans — whether you voted for me or not.

I will keep the faith that you have placed in me. https://t.co/moA9qhmjn8",2020-11-07 16:52:42,141909,514735,257
"2","We may be opponents — but we are not enemies. 

We are Americans.",2020-11-07 04:07:00,42013,582759,65
"3","We have to remember the purpose of our politics isn’t totally unrelenting warfare.",2020-11-07 04:05:00,13636,246760,82
"4","I know tensions can be high after a tough election like we just had.

But we need to remain calm. Patient. And let the process work out as we count all the votes.",2020-11-07 04:02:00,15930,273846,162
"5","We are going to be the first Democrats to win Arizona in 24 years.

We are going to be the first Democrats to win Georgia in 28 years.

And we re-built the Blue Wall in the middle of the country that crumbled just four years ago.",2020-11-07 04:00:00,17515,234720,229
"6","What is becoming clearer each hour is that record numbers of Americans — from all races, faiths, regions — chose change over more of the same. 

They have given us a mandate for action on COVID and the economy and climate change and systemic racism.",2020-11-07 03:59:00,14770,173907,249
"7","The numbers tell us a clear and convincing story: We're going to win this race.",2020-11-07 03:53:59,43439,615787,79
"8","Tune in as I address the nation on the current state of the race. https://t.co/w0er4issEk",2020-11-07 03:46:58,8756,76460,89
"9","Donald Trump is going to court to stop votes from being counted. We have assembled the largest election protection effort in history to fight back and need your help.

Chip in to make sure every vote is counted: https://t.co/ksrwxu9nDE",2020-11-06 02:00:00,20853,217986,235
"10","Keep the faith, folks.",2020-11-06 01:20:00,60546,938494,22
